,CompanyCode,Place,ID,Registered,Ceased
0,5,Hong Kong,F0004746,1990-09-06,
1,23,United Kingdom,FC015033,1993-01-01,
2,416,Hong Kong,F0021280,2015-02-27,
3,626,Hong Kong,F0005171,1991-11-01,
4,939,Hong Kong,F0007538,1996-02-09,
5,998,Hong Kong,F0015192,2007-04-04,
6,1216,Hong Kong,F0023223,2017-05-04,
7,1288,Hong Kong,F0007694,1996-05-13,
8,1398,Hong Kong,F0007824,1996-07-18,
9,1551,Hong Kong,F0022698,2016-09-19,
10,1578,Hong Kong,F0021955,2015-11-25,
11,1658,Hong Kong,F0022276,2016-04-11,
12,1916,Hong Kong,F0023940,2017-12-28,
13,1963,Hong Kong,F0020171,2013-10-15,
14,1983,Hong Kong,F0024755,2018-08-24,
15,1988,Hong Kong,F0013289,2004-04-26,
16,2016,Hong Kong,F0021765,2015-09-11,
17,2066,Hong Kong,F0020733,2014-06-26,
18,2139,Hong Kong,F0023375,2017-06-28,
19,2558,Hong Kong,F0025315,2019-03-08,
20,2888,Hong Kong,F0012198,2002-10-09,
21,3328,Hong Kong,F0000222,1948-07-14,
22,3618,Hong Kong,F0017969,2010-11-11,
23,3698,Hong Kong,F0020186,2013-10-21,
24,3866,Hong Kong,F0021682,2015-08-14,
25,3968,Hong Kong,F0005563,2002-07-24,
26,3968,Hong Kong,F0012050,1992-08-12,1996-07-09
27,3988,Hong Kong,F0000110,1947-06-20,
28,4605,Hong Kong,F0000222,1948-07-14,
29,4606,Hong Kong,F0007538,1996-02-09,
30,4608,Hong Kong,F0020186,2013-10-21,
31,4609,Hong Kong,F0013289,2004-04-26,
32,4610,Hong Kong,F0021765,2015-09-11,
33,4611,Hong Kong,F0021682,2015-08-14,
34,4612,Hong Kong,F0022276,2016-04-11,
35,4613,Hong Kong,F0021787,2015-09-24,
36,4614,Hong Kong,F0005563,2002-07-24,
37,4614,Hong Kong,F0012050,1992-08-12,1996-07-09
38,4615,Hong Kong,F0021280,2015-02-27,
39,4616,Hong Kong,F0020171,2013-10-15,
40,4617,Hong Kong,F0023223,2017-05-04,
41,4618,Hong Kong,F0022698,2016-09-19,
42,6122,Hong Kong,F0022169,2016-02-17,
43,6138,Hong Kong,F0020461,2014-02-24,
44,6190,Hong Kong,F0023653,2017-09-29,
45,6196,Hong Kong,F0021787,2015-09-24,
46,6818,Hong Kong,F0018456,2011-06-20,
47,662,Hong Kong,F0004892,1991-02-06,
48,945,Hong Kong,F0009802,1999-09-24,
49,1336,Hong Kong,F0018677,2011-09-27,
50,1339,Hong Kong,F0019179,2012-06-14,
51,1508,Hong Kong,F0021618,2015-07-17,
52,2318,Hong Kong,F0013128,2004-02-04,
53,2328,Hong Kong,F0012902,2003-10-06,
54,2378,Hong Kong,F0017526,2010-04-14,
55,2601,Hong Kong,F0017292,2009-12-07,
56,2628,Hong Kong,F0012832,2003-08-26,
57,6060,Hong Kong,F0023399,2017-07-05,
58,53,Hong Kong,F0005026,1991-05-29,
59,80,Hong Kong,F0018024,2010-12-08,
60,139,Hong Kong,F0006253,1993-11-26,
61,204,Hong Kong,F0010719,2000-10-31,
62,310,Hong Kong,F0011351,2001-08-13,
63,329,Hong Kong,F0010968,2001-02-19,
64,339,Hong Kong,F0010187,2000-03-15,
65,356,Hong Kong,F0011831,2002-03-26,
66,372,Hong Kong,F0005319,1992-02-20,
67,378,Hong Kong,F0005864,1993-02-23,
68,428,Hong Kong,F0006237,1993-11-19,
69,430,Hong Kong,F0005914,1993-03-22,
70,572,Hong Kong,F0012586,2003-04-07,
71,612,Hong Kong,F0011563,2001-11-19,
72,613,Hong Kong,F0006061,1993-07-21,
73,718,Hong Kong,F0007282,1995-09-15,
74,721,Hong Kong,F0011050,2001-03-20,
75,768,Hong Kong,F0010064,2000-01-12,
76,770,Hong Kong,F0007497,1996-01-24,
77,806,Hong Kong,F0015517,2007-09-14,
78,810,Hong Kong,F0011448,2001-10-03,
79,851,Hong Kong,F0009324,1998-11-24,
80,901,Hong Kong,F0011427,2001-09-21,
81,905,Hong Kong,F0009069,1998-06-18,
82,913,Hong Kong,F0009982,1999-12-09,
83,1041,Hong Kong,F0008057,1996-12-05,
84,1051,Hong Kong,F0006458,1994-04-19,
85,1062,Hong Kong,F0013495,2004-07-21,
86,1140,Hong Kong,F0012394,2003-01-16,
87,1160,Hong Kong,F0013122,2004-01-30,
88,1191,Hong Kong,F0006735,1994-10-18,
89,1217,Hong Kong,F0011993,2002-06-27,
90,1226,Hong Kong,F0012079,2002-08-09,
91,1227,Hong Kong,F0012115,2002-09-03,
92,1359,Hong Kong,F0020113,2013-09-16,
93,1835,Hong Kong,F0023576,2017-09-06,
94,1911,Hong Kong,F0024427,2018-06-06,
95,2277,Hong Kong,F0020922,2014-09-15,
96,2312,Hong Kong,F0011931,2002-05-28,
97,2324,Hong Kong,F0012543,2003-03-21,
98,2799,Hong Kong,F0021434,2015-05-07,
99,33,Hong Kong,F0015489,2007-09-04,
100,109,Hong Kong,F0008752,1997-11-25,
101,211,Hong Kong,F0005181,1991-11-08,
102,221,Hong Kong,F0012194,2002-10-08,
103,318,Hong Kong,F0011366,2001-08-20,
104,335,Hong Kong,F0010604,2000-09-07,
105,379,Hong Kong,F0012092,2002-08-15,
106,397,Hong Kong,F0005615,1992-09-15,
107,412,Hong Kong,F0005375,1992-04-06,
108,474,Hong Kong,F0014657,2006-05-27,
109,530,Hong Kong,F0005611,1992-09-14,
110,559,Hong Kong,F0007960,1996-10-15,
111,622,Hong Kong,F0005110,1991-08-28,
112,628,Hong Kong,F0011918,2002-05-21,
113,730,Hong Kong,F0005338,1992-03-11,
114,736,Hong Kong,F0005623,1992-09-21,
115,764,Hong Kong,F0009984,1999-12-09,
116,766,Hong Kong,F0011893,2002-05-03,
117,767,Hong Kong,F0007413,1995-12-06,
118,986,Hong Kong,F0006351,1994-02-03,
119,993,Hong Kong,F0006405,1994-03-08,
120,997,Hong Kong,F0010022,1999-12-24,
121,1019,Hong Kong,F0017540,2010-04-21,
122,1220,Hong Kong,F0008448,1997-07-08,
123,1260,Hong Kong,F0018409,2011-05-31,
124,1273,Hong Kong,F0019752,2013-04-12,
125,1290,Hong Kong,F0019156,2012-06-01,
126,1319,Hong Kong,F0019307,2012-08-16,
127,1543,Hong Kong,F0021498,2015-06-03,
128,1563,Hong Kong,F0024481,2018-06-15,
129,1572,Hong Kong,F0022208,2016-03-08,
130,1577,Hong Kong,F0021013,2014-10-28,
131,1606,Hong Kong,F0022016,2015-12-17,
132,1669,Hong Kong,F0020615,2014-04-25,
133,1697,Hong Kong,F0022740,2016-10-06,
134,1806,Hong Kong,F0024116,2018-02-28,
135,1905,Hong Kong,F0023359,2017-06-21,
136,1915,Hong Kong,F0021483,2015-05-29,
137,2003,Hong Kong,F0024248,2018-04-10,
138,2051,Hong Kong,F0023728,2017-10-24,
139,2718,Hong Kong,F0024940,2018-11-02,
140,64,Hong Kong,F0011913,2002-05-16,
141,111,Hong Kong,F0010382,2000-05-30,
142,188,Hong Kong,F0010440,2000-06-27,
143,231,Hong Kong,F0004486,1989-12-15,
144,279,Hong Kong,F0005723,1992-11-25,
145,290,Hong Kong,F0010976,2001-02-20,
146,510,Hong Kong,F0010649,2000-09-26,
147,585,Hong Kong,F0008176,1997-02-17,
148,665,Hong Kong,F0007756,1996-06-19,
149,717,Hong Kong,F0014862,2006-09-13,
150,804,Hong Kong,F0021257,2015-02-12,
151,812,Hong Kong,F0011673,2002-01-11,
152,952,Hong Kong,F0008765,1997-11-27,
153,1031,Hong Kong,F0007779,1996-07-02,
154,1073,Hong Kong,F0009858,1999-11-04,
155,1141,Hong Kong,F0008826,1998-01-15,
156,1375,Hong Kong,F0020331,2013-12-23,
157,1428,Hong Kong,F0017660,2010-06-14,
158,1456,Hong Kong,F0021367,2015-04-09,
159,1461,Hong Kong,F0021386,2015-04-16,
160,1469,Hong Kong,F0021900,2015-11-06,
161,1476,Hong Kong,F0021358,2015-04-02,
162,1776,Hong Kong,F0020976,2014-10-14,
163,2611,Hong Kong,F0022886,2016-12-16,
164,2680,Hong Kong,F0023465,2017-07-31,
165,3678,Hong Kong,F0021644,2015-08-03,
166,3908,Hong Kong,F0021593,2015-07-09,
167,3938,Hong Kong,F0025364,2019-03-26,
168,3958,Hong Kong,F0021661,2015-08-10,
169,6030,Hong Kong,F0018559,2011-08-05,
170,6058,Hong Kong,F0021759,2015-09-11,
171,6066,Hong Kong,F0022591,2016-07-28,
172,6099,Hong Kong,F0021664,2015-08-11,
173,6178,Hong Kong,F0021564,2015-06-29,
174,6806,Hong Kong,F0025173,2019-01-15,
175,6837,Hong Kong,F0018808,2011-11-22,
176,6881,Hong Kong,F0019587,2013-01-10,
177,6886,Hong Kong,F0021118,2014-12-16,
178,8001,Hong Kong,F0019075,2012-04-19,
179,8098,Hong Kong,F0017951,2010-11-04,
180,8210,Hong Kong,F0023870,2017-12-01,
